,name,time,h,valid,optimal,rotation,sorting,search_goal,search_type
21,ins-22,0.00776,120,True,False,rotation,area,min,h
22,ins-23,10.0,None,False,False,rotation,area,min,h
23,ins-24,0.00442,125,True,False,rotation,area,min,h
24,ins-25,0.00945,166,True,False,rotation,area,min,h
25,ins-26,0.02452,147,True,False,rotation,area,min,h
26,ins-27,10.0,None,False,False,rotation,area,min,h
27,ins-28,0.14921,151,True,False,rotation,area,min,h
28,ins-29,0.02121,160,True,False,rotation,area,min,h
29,ins-30,10.0,None,False,False,rotation,area,min,h
0,ins-01,0.00085,8,True,True,rotation,area,median,board
1,ins-02,0.00098,9,True,True,rotation,area,median,board
2,ins-03,0.0016,10,True,True,rotation,area,median,board
3,ins-04,0.00358,11,True,True,rotation,area,median,board
4,ins-05,0.00339,12,True,True,rotation,area,median,board
5,ins-06,0.01201,13,True,True,rotation,area,median,board
6,ins-07,0.00813,14,True,True,rotation,area,median,board
7,ins-08,0.01118,15,True,True,rotation,area,median,board
8,ins-09,0.0449,16,True,True,rotation,area,median,board
9,ins-10,0.56262,17,True,True,rotation,area,median,board
10,ins-11,10.0003,50,True,False,rotation,area,median,board
11,ins-12,10.0003,37,True,False,rotation,area,median,board
12,ins-13,10.0003,42,True,False,rotation,area,median,board
13,ins-14,10.0004,46,True,False,rotation,area,median,board
14,ins-15,10.0003,46,True,False,rotation,area,median,board
15,ins-16,10.0003,56,True,False,rotation,area,median,board
16,ins-17,10.0004,55,True,False,rotation,area,median,board
17,ins-18,10.0004,54,True,False,rotation,area,median,board
18,ins-19,10.0005,66,True,False,rotation,area,median,board
19,ins-20,10.0004,64,True,False,rotation,area,median,board
20,ins-21,10.0004,71,True,False,rotation,area,median,board
21,ins-22,10.0005,79,True,False,rotation,area,median,board
22,ins-23,10.0006,66,True,False,rotation,area,median,board
23,ins-24,10.0004,66,True,False,rotation,area,median,board
24,ins-25,10.0007,82,True,False,rotation,area,median,board
25,ins-26,10.0006,73,True,False,rotation,area,median,board
26,ins-27,10.0005,70,True,False,rotation,area,median,board
27,ins-28,10.0005,80,True,False,rotation,area,median,board
28,ins-29,10.0005,76,True,False,rotation,area,median,board
29,ins-30,10.0007,97,True,False,rotation,area,median,board
0,ins-01,0.00048,8,True,True,rotation,area,median,h
1,ins-02,0.00092,9,True,True,rotation,area,median,h
2,ins-03,0.00125,10,True,True,rotation,area,median,h
3,ins-04,0.0019,11,True,True,rotation,area,median,h
4,ins-05,0.00203,12,True,True,rotation,area,median,h
5,ins-06,0.00812,13,True,True,rotation,area,median,h
6,ins-07,0.00404,14,True,True,rotation,area,median,h
7,ins-08,0.01786,15,True,True,rotation,area,median,h
8,ins-09,0.02435,16,True,True,rotation,area,median,h
9,ins-10,0.58557,17,True,True,rotation,area,median,h
10,ins-11,10.0003,19,True,False,rotation,area,median,h
11,ins-12,1.45517,19,True,True,rotation,area,median,h
12,ins-13,1.10433,20,True,True,rotation,area,median,h
13,ins-14,1.08875,21,True,True,rotation,area,median,h
14,ins-15,0.05152,22,True,True,rotation,area,median,h
15,ins-16,10.0004,62,True,False,rotation,area,median,h
16,ins-17,10.0004,25,True,False,rotation,area,median,h
17,ins-18,10.0004,74,True,False,rotation,area,median,h
18,ins-19,10.0004,78,True,False,rotation,area,median,h
